rank,last_7_days,last_30_days,last_120_days
1,jean,jean,jean
2,nam nữ,nam nữ,nam nữ
3,thun,thun,thun
4,quần,quần,quần
5,mấy bà,mấy bà,mấy bà
6,giữ nhiệt,chị em,chị em
7,bé gái,bé gái,bé gái
8,chị em,giữ nhiệt,giữ nhiệt
9,bé trai,tham gia,thời trang
10,tham gia,thời trang,bé trai
11,thời trang,bé trai,tham gia
12,kaki,kaki,vải
13,jeans,vải,dài tay
14,vải,dài tay,kaki
15,dài tay,jeans,lụa
16,lụa,lụa,jeans
17,áo thun,len,chống nắng
18,len,áo thun,các mom
19,cotton,cotton,cotton
20,các mom,hoodie,dép
21,combo 2,các mom,combo 2
22,aothun,combo 2,aothun
23,combo 3,aothun,combo 3
24,các chị,dép,áo thun
25,dép,combo 3,mua ngay
26,chống nắng,giày,thun lạnh
27,mấy chị,mấy chị,giày
28,tôn dáng,chống nắng,hoodie
29,suông,các chị,mấy chị
30,áo dài,tôn dáng,các mẹ
31,giày,suông,inox
32,hoodie,váy,các chị
33,các mẹ,các mẹ,váy
34,váy,thun lạnh,len
35,anh chị,áo dài,suông
36,inox,inox,tôn dáng
37,thun lạnh,túi,túi
38,ống rộng,ống rộng,xem ngay
39,áo khoác,xem ngay,anh chị
40,túi,mua ngay,miễn ship
41,aopolo,anh chị,aopolo
42,đen,aopolo,ống rộng
43,ống suông,đen,đen
44,áo giữ nhiệt,vào live,săn ngay
45,mua ngay,ống suông,vào live
46,makeup,áo khoác,nàng
47,xem ngay,mở live phát,deals
48,nàng,xem live thôi,fan
49,săn ngay,fan,xem live thôi
50,các nàng,quà free tung tóe,mở live phát
51,ưu đãi,fan cứng,quà free tung tóe
52,vào live,makeup,vào ngay
53,mụn,vào ngay,fan cứng
54,baggy,nàng,nhanh vào nào
55,miễn ship,deals,áo khoác
56,khuyết điểm,ưu đãi cháy hàng,ống suông
57,kem,nhanh vào nào,kem
58,mở live phát,săn ngay,ưu đãi cháy hàng
59,quà free tung tóe,miễn ship,các nàng
60,xem live thôi,áo giữ nhiệt,mụn
61,fan,các nàng,skincare
62,tay dài,giaynam,makeup
63,giaynam,mụn,vào live săn giá rẻ
64,fan cứng,kem,giaynam
65,aopolonam,vào live săn giá rẻ,ưu đãi
66,chân váy,skincare,tay dài
67,ren,combo 5,baggy
68,deals,ưu đãi,áo giữ nhiệt
69,lông,tay dài,áo dài
70,vào ngay,aopolonam,ren
71,giaydep,baggy,son
72,ưu đãi cháy hàng,khuyết điểm,aopolonam
73,skincare,ren,đùi
74,nhanh vào nào,sweater,nhựa
75,nước hoa,giaydep,khuyết điểm
76,áo polo,lông,massage
77,nhựa,son,sweater
78,đùi,nhựa,kính
79,sweater,serum,giaydep
80,serum,jogger,serum
81,vào live săn giá rẻ,chân váy,vayxinh
82,cổ tròn,kính,chống nước
83,kính,nước hoa,nước hoa
84,bomber,đầm,trẻ em
85,đầm,áo polo,combo 4
86,chống nước,đùi,đầm
87,che khuyết điểm,vayxinh,rửa mặt
88,son,bomber,jogger
89,jogger,cổ tròn,kemchongnang
90,cạp cao,chống nước,áo polo
91,vayxinh,aohoodie,balo
92,quần nỉ,quần nỉ,bomber
93,massage,rửa mặt,mua 1 tặng 1
94,nỉ bông,nỉ bông,cổ tròn
95,cổ cao,dưỡng da,chị
96,tham khảo,massage,chân váy
97,combo 4,giaysneaker,aohoodie
98,cộc tay,namdep,lông
99,rửa mặt,combo 4,trắng
100,aodaitet,cao gót,sách
101,áo phao,trắng,anvat
102,cao cấp,che khuyết điểm,giaysneaker
103,chị,mua 1 tặng 1,các chị em
104,balo,trẻ em,dưỡng da
105,namdep,form rộng,cộc tay
106,quần jean nam,kemchongnang,namdep
107,sử dụng,cổ cao,thử ngay
108,trung niên,chị,combo 10
109,trắng,anvat,form rộng
110,sang trọng,balo,phụ nữ
111,các chị em,quần jean nam,cao gót
112,dưỡng da,cạp cao,cạo râu
113,form rộng,thử ngay,đánh răng
114,cao gót,các chị em,anh chị em
115,aohoodie,sang trọng,đàn ông
116,trẻ em,trung niên,cổ cao
117,aodai,namcaocap,free
118,thử ngay,combo 10,namcaocap
119,namcaocap,aodai,kem chống nắng
120,anvat,lông cừu,quần nỉ
121,lông cừu,aodaitet,khẩu trang
